question	answers
マージー川の河口に位置するイギリスの港湾都市で、ビートルズ誕生の地として知られるのはどこでしょう?	リバプール
楽譜で、シャープやフラットにより変化した音を元の高さに戻す「本位記号」のことを何というでしょう?	ナチュラル
太陽系の8つの惑星のうち、太陽から最も遠い位置にある天体は何でしょう?	海王星
運輸安全委員会、海上保安庁、観光庁、気象庁が属する中央省庁は何でしょう?	国土交通省
今年4月1日、NHKの衛星放送の再編成により誕生した2つのチャンネルとは、「NHK BS1」と何でしょう?	NHK BSプレミアム
銅板の表面を針で削り、腐食させて作る版画を英語で何というでしょう?	エッチング
花札で、20点札を5枚全てそろえた役を何というでしょう?	五光
大きさを持つ2つのベクトルが直角に交わるとき、その内積はいくつになるでしょう?	0
10月10日に起こったことから「双十革命」とも呼ばれる、中国で、清が滅び中華民国が成立した革命は何でしょう?	辛亥革命
相撲で、立合いからまっすぐ相手を押し込んでいくことを、ある乗り物にたとえて何と言うでしょう?	電車道
寄席の言葉で、「つばなれ」といえば何人以上の客が入ることをいうでしょう?	10人
日本の道路交通法で「本標識」と呼ばれる4種類の標識とは、案内標識、規制標識、警戒標識と何でしょう?	指示標識
破傷風菌の純粋培養に成功し、血清療法を確立した、日本の細菌学者は誰でしょう?	北里柴三郎
ギリシア神話に登場するオイディプスが解いた「スフィンクスの謎」の答えは何でしょう?	人間
「氷上のチェス」といえばカーリングですが、「氷上の格闘技」といえばどんなスポーツを指すでしょう?	アイスホッケー
テレビ朝日系列の刑事ドラマ『相棒』シリーズで、及川光博が演じた刑事の名前は何でしょう?	神戸尊
着物の種類で、裏地が無いものを「単衣」といいますが、裏地があるものを何といういうでしょう?	袷
水素やヘリウムなどの軽い原子核が原子核反応して、より重い原子核に変化する現象を何というでしょう?	核融合
ツール・ド・フランスで、総合成績1位の選手に贈られる黄色のジャージを何というでしょう?	マイヨ・ジョーヌ
大学入試センター試験の「英語」で、筆記試験の満点は200点ですが、リスニング試験の満点は何点でしょう?	50点
オランダの国土のおよそ4分の1を占める干拓地を何というでしょう?	ポルダー
「素数」に対し、1とその数自身以外に約数のある数を何というでしょう?	合成数
全日本吹奏楽コンクール中学生・高校生部門の全国大会が行われるため、「吹奏楽の甲子園」と呼ばれる、東京都杉並区にある施設はどこでしょう?	普門館
AU・アフリカ連合の本部が置かれている、エチオピアの首都はどこでしょう?	アディスアベバ
元々は連歌や俳句における最後の句のことで、最終的に行き着く結末を「これの果て」と表す漢字2文字の言葉は何でしょう?	挙句
頭や腕のない胴体だけの彫刻を、イタリア語で何というでしょう?	トルソー
コンビニエンスストアで、ファミチキを販売しているのはファミリーマートですが、Lチキを販売しているのはどこでしょう?	ローソン
「江戸」や「薩摩」などの種類がある、ガラスの表面に溝を彫り込んで装飾した工芸細工を何というでしょう?	切子
縄文時代の遺跡である亀ヶ岡遺跡、小牧野遺跡、三内丸山遺跡といえば、いずれも何県にあるでしょう?	青森県
アメリカンフットボールで、反則があった際に投げ込まれるのは何色の旗でしょう?	黄色
アメリカの二大政党で、民主党のシンボルはロバですが、共和党のシンボルはどんな動物でしょう?	ゾウ
本名をヨーゼフ・アロイス・ラッツィンガーという、現在のローマ教皇は誰でしょう?	ベネディクト16世
ナフタレンやドライアイスなどにみられる、固体が液体の状態を経ずに直接気体になる変化を何というでしょう?	昇華
バングラデシュ国歌『我が黄金のベンガルよ』やインド国歌『ジャナ・ガナ・マナ』を作詞・作曲した、インドの詩人は誰でしょう?	ラビンドラナート・タゴール
1986年のFIFAワールドカップで見せ場となった「5人抜きドリブル」や「神の手ゴール」も有名な、アルゼンチンを代表する元サッカー選手は誰でしょう?	ディエゴ・マラドーナ
狂言の二大流派といえば、和泉流と何でしょう?	大蔵流
日本郵政のゆうパックに統合され、昨年7月をもって33年の歴史に幕を閉じた、日本通運の宅配サービスは何でしょう?	ペリカン便
『叫び』で知られる画家ムンクは、どこの国の人でしょう?	ノルウェー
毎年1月恒例の箱根駅伝は、全部で何区間で競われるでしょう?	10区
茶道の三千家といえば、表千家、裏千家と何でしょう?	武者小路千家
天気図で、寒冷前線が温暖前線に追いつき、2つの寒気が接触してできる前線を何というでしょう?	閉塞前線
その形から三角州を意味することもあるギリシャ文字は何でしょう?	デルタ
バレンタインデーのお返しにキャンディーやマシュマロなどのプレゼントを贈る日を、ある色を使って「何デー」というでしょう?	ホワイトデー
元々は舞台前方の床から俳優を照らす照明のことで、転じて世間の注目を集めるときに「浴びる」といわれるものは何でしょう?	脚光
ゴルフで、グリーン外側からのアプローチショットがそのままカップに入ることを、英語で何というでしょう?	チップイン
コンピュータの表計算ソフトで、値を入力するマスのことを、「細胞」という意味の言葉を使って何というでしょう?	セル
「不思議な町」「悪魔の箱」「最後の時間旅行」「魔神の笛」といえば、ニンテンドーDSで発売された何というゲームシリーズの作品でしょう?	レイトン教授シリーズ
小選挙区制では増える傾向にある、落選した候補に投じられた票を何というでしょう?	死票
父に思想家の隆明がいる、『TUGUMI』『キッチン』などの作品で知られる女性作家は誰でしょう?	よしもとばなな
水着の上半分に似ていることから名がついた、腕と首周りが大きく露出するシャツといえば何でしょう?	タンクトップ
イタリア国内にある2つの独立国とは、バチカン市国と何でしょう?	サンマリノ共和国
本名を萩原寛という力士で、昨年の大相撲九州場所2日目で横綱・白鵬を破り、連勝記録を63で止めたのは誰でしょう?	稀勢の里寛
メキシコの女性作曲家、コンスエロ・ベラスケスが作った、スペイン語で「もっとキスして」という意味の歌は何でしょう?	ベサメ・ムーチョ
現在、イギリスで連立政権を組む2つの政党とは、保守党と何でしょう?	自由民主党
別名を「リヒター・スケール」という、地震の規模を表す指標は何でしょう?	マグニチュード
雑誌の発売ペースで「マンスリー」は1か月に1回ですが、「クォータリー」は何か月に1回でしょう?	3か月
ボクシングで、左手左足を前に出した一般的な構えを何というでしょう?	オーソドックス・スタイル
夏においしい野菜・ピーマン、シシトウ、トマトといえば、全て何科の植物でしょう?	ナス科
ブタの皮つき三枚肉を泡盛や醤油などで柔らかく煮た、沖縄の郷土料理は何でしょう?	らふてー
病気が日々回復してゆく様子を、俗に「何を剥ぐよう」というでしょう?	薄紙
1906年にノーベル平和賞をアメリカ人として初めて受賞した、同国の第26代大統領は誰でしょう?	セオドア・ルーズベルト
代表作に『老猿』『西郷隆盛像』がある、高村光太郎の父としても知られる彫刻家は誰でしょう?	高村光雲
別名を「ゴッドウィン・オースチン」という、世界で2番目に標高が高い山は何でしょう?	K2
「感染爆発」と訳される、感染症や伝染病が世界的に流行することを指す英語は何でしょう?	パンデミック
日本郵便が現在販売している普通切手で、最も額面が高いのは何円切手でしょう?	1000円切手
アメリカンフットボールで、攻撃側に与えられる4回の攻撃機会のことを何というでしょう?	ダウン
ドラムセットに備わっているものとしては「クラッシュ」や「ハイハット」が一般的な、金属製の打楽器といえば何でしょう?	シンバル
柔道で、技有りと同等に扱われる反則は何でしょう?	警告
日本の都道府県で「島」という漢字が付く5つとは、福島、広島、島根、徳島とどこでしょう?	鹿児島県
悪天候時に船のマストや樹木の先端などが青白い光を放つ現象を、船乗りの聖人の名前をとって何というでしょう?	セントエルモの火
パックツアーの自由時間に別料金で参加できる、小規模なツアーを何というでしょう?	オプショナルツアー
「ロングトラック」とも呼ばれるスピードスケートのトラックは、1周何mでしょう?	400m
ハコネ、トウキョウ、カスミなどの種類がある両生類で、井伏鱒二の小説の題名にもなっているのは何でしょう?	サンショウウオ
その名は江戸時代の琴の名人に由来するといわれる、ニッキの香りが特徴的な京都名物のお菓子は何でしょう?	八ツ橋
元々は「志願兵」という意味がある、自発的に社会事業活動に参加する人を指す言葉は何でしょう?	ボランティア
飛行機に乗る時や水に潜るとき、気圧の変化に対応するために行う、つまんだ鼻から息を吐く動作を何というでしょう?	耳抜き
「GLOW」「InRed」「spring」「sweet」といった女性ファッション雑誌を出版している会社はどこでしょう?	宝島社
ベネチアやトリエステが面している、イタリア半島とバルカン半島の間の海は何でしょう?	アドリア海
理科の実験で使われる上皿天秤で、重さを量るときに使うおもりを何というでしょう?	分銅
フランス語で「どんな場合でも」という意味がある、陸上競技場やテニスコートに使われる水はけの良いレンガ色の土は何でしょう?	アンツーカー
法律で禁じられた「無限連鎖講」のことを、ある動物の名前を用いて一般に何というでしょう?	ねずみ講
『ドリアン・グレイの肖像』『サロメ』『幸福な王子』などの作品で知られる、アイルランド生まれの作家は誰でしょう?	オスカー・ワイルド
動かない彫刻を「スタビール」というのに対し、動く彫刻を何というでしょう?	モビール
白ご飯を敷き詰め、真ん中に梅干をのせた弁当のことを、日本の国旗になぞらえて何というでしょう?	日の丸弁当
昨年、中央競馬史上3頭目となる牝馬三冠を達成した馬は何でしょう?	アパハネ
気温が低く風が穏やかなときに現れる、空気中の細かい氷の結晶が、太陽光線で輝いて見える現象を何というでしょう?	ダイヤモンドダスト
スクラビング法、バス法、ローリング法といえば、毎日の習慣であるどんなことに関する方法でしょう?	歯磨き
日本の歴代総理大臣の中で、苗字に動物が入っているのは、鳩山一郎、鳩山由紀夫と誰でしょう?	犬養毅
映画などの撮影場所を探す「ロケハン」といいますが、これはどんな和製英語の略語でしょう?	ロケーション・ハンティング
消防署の地図記号にデザインされている、江戸時代に町火消しが延焼を防ぐために使っていた道具は何でしょう?	さすまた
別名を「レスト」という、ビリヤードで、遠くの手玉を打つ為にキューをのせる長い取っ手の付いた道具は何でしょう?	メカニカルブリッジ
黒、柿色、萌黄色の3色の縦縞でできた、歌舞伎で使われる幕を何というでしょう?	定式幕
◎のマークは、天気記号では曇りを表しますが、地図記号では何の場所を表すでしょう?	市役所
日本ではかつて「いかり星」と呼ばれていた、アルファベットのWの形に5個の星が並ぶ星座は何座でしょう?	カシオペヤ座
325年のニケーア公会議で正統とされた、父なる神、イエス、精霊の3体を同質とするキリスト教の学説を何というでしょう?	三位一体説
母国の常識からかけ離れた文化に接触したときの驚きや戸惑いを、英語で何というでしょう?	カルチャーショック
カーリングのハウスや弓道の的のように、1つの点を中心に複数描かれた半径の異なる円を何というでしょう?	同心円
サンドイッチのひとつBLTサンドの、Bはベーコン、Lはレタスの事ですが、Tはどんな具材のことでしょう?	トマト
イタリア語では「コニーリョ」、フランス語では「ラパン」、英語では「ラビット」という動物を、日本語では何というでしょう?	ウサギ
功利主義を唱え、「最大多数の最大幸福」という言葉を残した、イギリスの社会学者は誰でしょう?	ジェレミー・ベンサム
映画化された際にはflumpoolによる同名の主題歌もヒットした、黒沼爽子を主人公とする少女漫画は何でしょう?	君に届け
チューリッヒ、ジュネーブに次ぐスイス第3の都市で、有害廃棄物の国境を越える移動を規制した条約に名を残すのはどこでしょう?	バーゼル
脊椎動物の赤血球に含まれ、血液中で酸素を運搬する働きを持つたんぱく質は何でしょう?	ヘモグロビン
背面跳びが考案されるまでは一般的であった、陸上の走り高跳びでお腹を下にしてバーを越す飛び方を何というでしょう?	ベリーロール
小説『ハリー・ポッター』シリーズの舞台である、魔法学校の名前は何でしょう?	ホグワーツ魔法魔術学校
ギリシャ語で「緊張」という意味がある、建築物の柱に施されたわずかな膨らみを何というでしょう?	エンタシス
現在は最新作の「knit」が稼動している、16枚のパネルをリズムに合わせてタッチする、コナミの音楽ゲームは何でしょう?	jubeat
昨年は日本馬のナカヤマフェスタが2着に入った、毎年10月にフランスのロンシャン競馬場で行われる国際GIレースは何でしょう?	凱旋門賞
昆虫の体を大きく3つに分けると、頭部、胸部と何でしょう?	腹部
パッド、クリングス、テンプル、ブリッジなどの部品から作られる、視力の矯正や目の保護に使われる器具といえば何でしょう?	メガネ
自分の腕前や努力の成果を見せる晴れの場を、劇場の立派な舞台にたとえて「何舞台」というでしょう?	檜舞台
ロシア民謡にも歌われている、17世紀のロシアで反乱を起こしたコサックの首長は誰でしょう?	ステンカ・ラージン
開発したドイツの会社の名前がそのまま通称となった、舞台化粧などに用いられる油性おしろいのことを何というでしょう?	ドーラン
ニューヨーク州とオンタリオ州を結ぶナイアガラ川に架かる橋と、東京の芝浦とお台場を結ぶ東京湾に架かる橋に、共通する名前は何でしょう?	レインボーブリッジ
ゲートボールで、先攻のチームが使うボールの色は、赤、白のどちらでしょう?	赤
代表曲に管弦楽曲『水上の音楽』『王宮の花火の音楽』がある、ドイツ生まれの音楽家は誰でしょう?	ゲオルク・フリードリヒ・ヘンデル
昨年、阪神タイガースのマット・マートン選手が記録した、日本プロ野球1シーズンの最多安打の記録はいくつでしょう?	214安打
全国知事会の現会長である山田啓二は、どこの都道府県の知事でしょう?	京都府
江戸の庶民生活を活き活きと描いた『浮世床』『浮世風呂』で知られる戯作者は誰でしょう?	式亭三馬
錠剤を飲みやすくするために、表面を糖で覆ったものを特に何錠というでしょう?	糖衣錠
大物を釣った記念に、魚に墨を塗って紙に写したものを何というでしょう?	魚拓
1932年の第3回、1980年の第13回と2度冬季オリンピックが開催されたアメリカの都市はどこでしょう?	レークプラシッド
別名を「八丈草」という、「今日摘んでも明日また葉が出る」ことから名の付いたセリ科の多年草は何でしょう?	アシタバ
つけ麺の中でも、麺を温かい状態で提供されるものを特に「何もり」というでしょう?	あつもり
「覆水盆に返らず」を英語で表現したときに、登場する飲み物は何でしょう?	牛乳
『悲劇の誕生』『ツァラトゥストラはかく語りき』などの著作がある、18世紀ドイツの哲学者は誰でしょう?	フリードリッヒ・ニーチェ
エルソルプロダクツ株式会社の登録商標になっている、まぶたを二重に見せるための化粧品は何でしょう?	アイプチ
元々は「嵐の岬」と呼ばれ、ジョアン2世が現在の名を付けた、南アフリカ南部の岬は何でしょう?	喜望峰
演劇などでは観客の反応を見るために行う試験公演を、スポーツではプロチームの入団テストを指す言葉は何でしょう?	トライアウト
グラフェン、フラーレン、カーボンナノチューブといえば、いずれも何という元素の同素体でしょう?	炭素
現在、将棋の名人は森内俊之ですが、囲碁の名人は誰でしょう?	井山裕太
イギリスの20ポンド紙幣に現在描かれている、『国富論』を著したイギリスの経済学者は誰でしょう?	アダム・スミス
SF小説などに見られる、基本的な人権が抑圧された社会を描いた文学を、ユートピア小説に対して「何小説」というでしょう?	ディストピア小説
株式会社スタートトゥデイが運営する、日本最大級のファッション通販サイトは何でしょう?	ZOZOTOWN
昨年、生タイプ麺を用いた初代からノンフライ麺を用いた2代目にモデルチェンジを行った、日清食品が発売するカップラーメンは何でしょう?	日清ラ王
競泳で、個人メドレーの最初の泳法はバタフライですが、メドレーリレーの第一泳者の泳法は何でしょう?	背泳ぎ
情報量の単位で、1バイトはふつう何ビットでしょう?	8ビット
八坂神社の祭礼として毎年7月に行われる、京都三大祭りのひとつは何でしょう?	祇園祭
ことわざで、世間知らずな人を例えて「何の煮えたもご存じない」というでしょう?	芋
ボケの真栄田賢とツッコミの内間政成の2人からなる、M-1グランプリ2010で準優勝になったお笑いコンビは何でしょう?	スリムクラブ
日本有数の台風銀座としてよくテレビの中継地点に選ばれる、本州最南端の岬は何でしょう?	潮岬
6人制バレーボールで、スパイクやブロックはできないが自由に交代可能な、守備専門のプレーヤーを何というでしょう?	リベロ
北海道民謡『ソーラン節』はどんな魚の漁を歌った曲でしょう?	ニシン
落語家で、仁鶴、鶴光、鶴瓶といえば、共通する亭号は何でしょう?	笑福亭
京都五山の第一位とされる寺は天龍寺ですが、鎌倉五山の第一位とされる寺は何でしょう?	建長寺
空気のおよそ0.93%を占め、窒素、酸素に次いで多い成分となっている気体は何でしょう?	アルゴン
敷き詰めた小石や砂につけた模様で水の流れを表現する、日本の禅寺によく見られる水のない庭園を何というでしょう?	枯山水
昨年の広州アジア大会陸上女子100メートルと200メートルで二冠を達成した、北海道ハイテクACに所属する陸上選手は誰でしょう?	福島千里
文房具の英語名で、「イレイザー」といえば消しゴムのことですが、「ルーラー」といえば何のことでしょう?	定規
電磁波の発見で知られるドイツの物理学者で、周波数の単位に名前を残しているのは誰でしょう?	ハインリヒ・ルドルフ・ヘルツ
カクテルの材料に使われる、ザクロの果汁を原料とするシロップは何でしょう?	グレナデン・シロップ
日本国憲法は103条ありますが、大日本帝国憲法は何条あるでしょう?	76条
今年15周年を迎えた、毎年7月下旬に苗場スキー場で開催される国内最大級の音楽フェスティバルは何でしょう?	FUJI ROCK FESTIVAL
名前に「ニュー」がつくアメリカの州のうち、唯一独立13州に当たらないのは何州でしょう?	ニューメキシコ州
大相撲で活躍する力士で、栃ノ心、臥牙丸、黒海といえば、出身国はどこでしょう?	グルジア
フランスの医師ラエネクによって発明された、胸部や腹部の中の音を聞くために用いる医療器具は何でしょう?	聴診器
ケニアのナイロビに本部を置く「国連環境計画」を、アルファベット4文字で何というでしょう?	UNEP
「えたいの知れない不吉な塊が私の心を始終圧えつけていた。」という書き出しで始まる、作家・梶井基次郎の代表作は何でしょう?	檸檬
昨年11月にはローマ法王に教会として公認された、スペインの建築家アントニオ・ガウディ設計の大聖堂は何でしょう?	サグラダ・ファミリア
「ファッブリカ・イタリアーナ・アウトモビリ・トリノ」という言葉の頭文字から社名を付けた、イタリアの自動車メーカーは何でしょう?	フィアット
空手などの格闘技で、打撃を接触直前で止めたり、ダメージを与えないように当てることを何というでしょう?	寸止め
アイスの「エッセルスーパーカップ」、チョコスナックの「きのこの山」「たけのこの里」などを販売している食品会社は何でしょう?	明治
他の鳥の鳴き真似をすることから、漢字で「百の舌」と書く鳥は何でしょう?	モズ
偏見や先入観にとらわれて物事を見ることを、身につけるあるものを用いて「何で見る」というでしょう?	色眼鏡
ホノルルマラソンが行われるのはハワイ州ですが、ボストンマラソンが行われるアメリカの州はどこでしょう?	マサチューセッツ州
1968年に「五月革命」と呼ばれる民衆による反体制運動が起こった、ヨーロッパの国はどこでしょう?	フランス
草彅剛とユースケ・サンタマリアが、毎週ゲストと様々な対決を繰り広げる、テレビ朝日系で放送中の人気深夜番組は何でしょう?	ぷっすま
マウント・オーガスタスに次いで世界で2番目に大きい一枚岩である、オーストラリアの観光名所といえば何でしょう?	エアーズロック
一般的なトランペットに、音を調節するためのピストンはいくつあるでしょう?	3つ
1911年の第1回ではレイ・ハルーンが制した、優勝者が牛乳を飲むことで有名なアメリカのモーターレースは何でしょう?	インディ500
日本銀行のように、国の金融の中核となり、市中銀行に資金を供給する機関を何というでしょう?	中央銀行
魚釣島など8つの島から構成される、領有権を巡って近隣諸国との争いが絶えない沖縄県の諸島はどこでしょう?	尖閣諸島
金融では「債務不履行」を、コンピューターでは「初期設定値」や「標準」という意味で用いられる英単語は何でしょう?	デフォルト
ドイツ人小学校教師リヒャルト・シルマンが創設した、青少年旅行者のための健全で安価な宿泊施設を何というでしょう?	ユースホステル
今年1月、主人公・伊達直人を名乗る匿名の寄付活動が全国に広がった、梶原一騎原作のプロレス漫画は何でしょう?	タイガーマスク
1928年のアムステルダムオリンピック・女子800mで銀メダルを獲得し、日本人女性として初めて五輪メダリストとなった陸上選手は誰でしょう?	人見絹枝
その外観から「バラ」「マメ」「クルミ」などの形状に分けられる、ニワトリの頭の上にある肉の突起は何でしょう?	トサカ
スパークリングワインを発明したとされる修道士の名前にちなむ、フランスのモエ・エ・シャンドン社が生産する高級シャンパンは何でしょう?	ドン・ペリニョン
英語で、左右対称のことを「シンメトリー」といいますが、左右非対称のことを何というでしょう?	アシンメトリー
曙より明るいが朝にはなっていない状態を指す、小倉百人一首で「君がため」「和田の原」とともに6字決まりとなっている言葉は何でしょう?	朝ぼらけ
洋風の結婚式で花嫁が髪に飾る、宝石を散りばめた冠型の女性用の飾りを英語で何というでしょう?	ティアラ
南米の島・フェゴ島を領有している2つの国とは、アルゼンチンとどこでしょう?	チリ
剣道の「始め」に当たる、フェンシングで、主審が試合開始の合図として言う言葉は何でしょう?	アレ
大気汚染物質の種類で、「NOx」といえば窒素酸化物のことですが、「SOx」といえば何という物質の総称でしょう?	硫黄酸化物
花札で、「萩」の10点札に描かれている動物は何でしょう?	イノシシ
正式名を「日本司法支援センター」という、法律トラブルへの情報提供などを行う機関の愛称は何でしょう?	法テラス
スペイン内戦を舞台にロバート・ジョーダンとマリアの恋愛を描いた、作家ヘミングウェイの代表作は何でしょう?	誰がために鐘は鳴る
洋服の柄で、縦縞のことをストライプというのに対し、横縞のことを何というでしょう?	ボーダー
フランス語で「銀」という意味がある、砂糖の粒を薄い銀箔で覆ったお菓子作りの材料は何でしょう?	アラザン
今年5月には著書『日本男児』も発売された、インテル・ミラノ所属のサッカー選手は誰でしょう?	長友佑都
顕微鏡の「接眼レンズ」と「対物レンズ」のうち、先に取り付けなければならないのはどちらでしょう?	接眼レンズ
コンサルタントのやましたひでこが提唱した、片づけの実践術を通じて心の自由を得るという自分改革法を、漢字3文字で何というでしょう?	断捨離
ある物事に対して確実であると保証することを、「何を押す」というでしょう?	太鼓判
熊本民謡にも「越すに越されぬ」と歌われている、西南戦争の激戦地となった坂はどこでしょう?	田原坂
9連覇を記録していた江頭2:50を押さえ、「日経エンタテイメント!」の人気調査で「嫌いな芸人」部門1位を獲得した人気タレントは誰でしょう?	島田紳助
俗に「日本三大急流」と呼ばれる河川とは、富士川、球磨川と山形県を流れる何川でしょう?	最上川
卓球のラケットの持ち方を大きく2つに分けると、シェイクハンドと何でしょう?	ペンホルダー
J-POPなどの音楽で、曲の一番盛り上がる部分を俗に何というでしょう?	サビ
面、胴、小手、垂れ、すね当てが防具として使用される、武家の女子を中心に発逹した武道は何でしょう?	なぎなた
宝塚歌劇団にある5つの組といえば、花組、月組、雪組、星組と何でしょう?	宙組
その形から「蟹の目」ともいわれる、扇の骨をつなぐ留め具を何というでしょう?	要
フィジー、スリランカ、スペインの国旗に共通して描かれている動物は何でしょう?	ライオン
アメリカの物理学者ジョン・ホイーラーが命名した、光でさえも脱出できない巨大な重力を持つ天体は何でしょう?	ブラックホール
そのフォロワー数から「Twitter王子」の異名を取る、『Baby』『Never Say Never』などがヒットしたアメリカの歌手は誰でしょう?	ジャスティン・ビーバー
宝石で、「赤い」というラテン語に由来するのはルビーですが、「青い」というラテン語に由来するのは何でしょう?	サファイア
フィギュアスケートで、競技大会のプログラムが全て終わった後に観客サービスとして行われる演技を何というでしょう?	エキシビション
昆虫の「完全変態」にあり、「不完全変態」にないのはどの段階でしょう?	さなぎ
元々は節句ごとに、現在では特にお正月に食べる料理をさす言葉は何でしょう?	おせち料理
面積の単位で、1aは100平方メートルですが、1haは何平方メートルでしょう?	10000平方メートル
日本人の文化についてまとめた著書『菊と刀』で知られる、アメリカの文化人類学者は誰でしょう?	ルース・ベネディクト
シリーズ初の学園ドラマであり、高校生の如月弦太朗が変身する、来月から放映予定の「仮面ライダーシリーズ」最新作は何でしょう?	仮面ライダーフォーゼ
紅海と地中海を結ぶ、1869年にレセップスの尽力によって開通した運河は何でしょう?	スエズ運河
体操競技の跳馬や跳び箱で使われるバネのついた踏切板を、開発者の名前から何というでしょう?	ロイター板
医師法第24条の規定により5年間の保存が義務付けられている、患者に対する医師の診療記録のことをドイツ語で何というでしょう?	カルテ
建築士法による建築士の5つの資格とは、一級建築士、二級建築士、構造設計一級建築士、設備設計一級建築士と何でしょう?	木造建築士
ドミトリー、イワン、アリョーシャという兄弟を主人公とする、ドストエフスキーの小説のタイトルは何でしょう?	カラマーゾフの兄弟
栃木県の名産品「益子焼」は、磁器・陶器のどちらでしょう?	陶器
チェス独特のルールである、1手でキングとルークの2つの駒を動かす手のことを何というでしょう?	キャスリング
「21歳の大学生」と「19歳の社会人」のうち、中央競馬の馬券を購入できるのはどちらでしょう?	21歳の大学生
光の三原色をすべて重ねると何色になるでしょう?	白
突発的な出来事があったとき、新聞社が速報のために街頭で配る臨時刊行紙を何というでしょう?	号外
景気や天気が徐々に悪くなっていくことを、坂に例えて何というでしょう?	下り坂
1721年に徳川吉宗が設置した、庶民の要望や不満を直訴するための投書箱を何というでしょう?	目安箱
演劇などの終幕後に観客が拍手喝采し、いったん退場した出演者を舞台に呼び戻すことを何というでしょう?	カーテンコール
地図上で、図面上の距離と実際の距離との比を何というでしょう?	縮尺
別名を「ランニングシュート」という、バスケットボールでリングにボールを置くように放つシュートは何でしょう?	レイアップシュート
「死活問題」「駄目押し」「岡目八目」といえば、どんな室内ゲームに由来する言葉でしょう?	囲碁
命日である6月25日は「浜木綿忌」と呼ばれる、琴の名曲『春の海』の作曲者は誰でしょう?	宮城道雄
「グリーンモンスター」で有名なフェンウェイ・パークは、大リーグのどこのチームの本拠地でしょう?	ボストン・レッドソックス
東南アジアの国家元首で、ハサナル・ボルキア国王が治めるのはブルネイですが、プミポン国王ことラーマ9世が治める国はどこでしょう?	タイ
日本の文語文法で、下一段活用をする唯一の動詞は何でしょう?	蹴る
ヤードポンド法において、1ヤードは何フィートに相当するでしょう?	3フィート
哀悼の意を示すために、竿の中程に掲げた旗を何というでしょう?	半旗
オリンピックで行われる投擲競技の中で、男子の世界記録よりも女子の世界記録の方が距離が長い唯一の種目は何でしょう?	円盤投げ
日本には「マダラ」と「ヤエヤマ」の2種類が生息する、尾に毒針を持つ生き物は何でしょう?	サソリ
その細長い形から、フランス語で「棒」という意味の名前をもつフランスパンの一種は何でしょう?	バゲット
1月から3月は時間が経つのが早いことを指して、1月は往く、2月は逃げるといいますが、3月は何というでしょう?	去る
民間伝承で、長年使われた道具に霊魂が宿り、妖怪になったものを何というでしょう?	付喪神
漫画作品の『あひるの空』『DEAR BOYS』『SLAM DUNK』といえば、題材となっているスポーツは何でしょう?	バスケットボール
発見者であるオランダの航海士に名をちなむ、オーストラリア本土の南に位置する島は何でしょう?	タスマニア島
バレーボールのコートで、ネットから3mの距離に引かれている、後方からのスパイクの目安となるラインを何というでしょう?	アタックライン
酸素分子や窒素分子のように、ひとつの元素のみからなる物質を、「化合物」に対して何というでしょう?	単体
シェイクスピアの戯曲からその名が付けられた、8×8マスの盤上に白と黒のコマを置きあうボードゲームは何でしょう?	オセロ
昭和25年、木村禧八郎議員の質問に対し「貧乏人は麦を食え」という趣旨の発言をした当時の大蔵大臣は誰でしょう?	池田勇人
普段は雑誌『旅と歴史』を中心にルポライターとして活動している、作家の内田康夫が生んだ名探偵は誰でしょう?	浅見光彦
メキシコやペルーなどでかぶられる、つばが広くて山が高く、先端が細くなっている帽子のことを何というでしょう?	ソンブレロ
今年2月、ムバラク大統領による30年もの長期政権が終焉したアフリカの国はどこでしょう?	エジプト
相撲の1場所で、十両の力士は8勝すれば勝ち越しとなりますが、幕下以下の力士は何勝すれば勝ち越しとなるでしょう?	4勝
地球の体積の80%以上を占める、地殻と核の間の部分を何というでしょう?	マントル
「父の日」と「母の日」のうち、1年で先にくるのはどちらでしょう?	母の日
あるものを噛むと動くことからその名がついた、目と耳の中間にある部分のことを何というでしょう?	こめかみ
「2時間ドラマの帝王」船越英一郎と、「2時間ドラマの女王」片平なぎさがともに所属する芸能事務所はどこでしょう?	ホリプロ
ソフトボールのピッチャーが放つ最もポピュラーな投球法で、「風車」という意味があるのは何でしょう?	ウィンドミル
オーストラリアの航空会社、カンタス航空のロゴマークに描かれている動物は何でしょう?	カンガルー
毎年冬至の日には無料ライブを行っている、『Hey 和』『栄光の架橋』などのヒット曲で知られる男性2人組は何でしょう?	ゆず
渡辺康幸監督に率いられ、今年の「第87回箱根駅伝」で優勝した大学はどこでしょう?	早稲田大学
共産圏の閉鎖性を「鉄のカーテン」という言葉で表した、イギリスの元首相は誰でしょう?	チャーチル
落語で、観客から題目を3つもらい、即興で組み立てて演じるものを何というでしょう?	三題噺
鹿児島県南部に突き出た2つの半島とは、大隅半島と何でしょう?	薩摩半島
プランクトンの死骸などが、海中に沈んでいく様子を雪にたとえて何というでしょう?	マリンスノー
ジョン・ウィリアムズがアカデミー作曲賞を受賞した『ジョーズ』『E.T.』『シンドラーのリスト』の監督はいずれも誰でしょう?	スティーヴン・スピルバーグ
毎年4月の下旬にイエス・キリストが死んでから3日目に蘇ったことを記念する、キリスト教の祭典を何というでしょう?	イースター
